# <sim_time> <x> <y> <z> <qx> <qy> <qz> <qw>
0.057 4.99985 -7.87245e-11 -0.012969 -3.54932e-10 0.00106295 3.75558e-10 0.999999
0.058 4.99985 -9.13969e-11 -0.0134586 -3.66513e-10 0.00108889 3.88875e-10 0.999999
0.059 4.99984 -1.0407e-10 -0.0139579 -3.78094e-10 0.00111483 4.02193e-10 0.999999
0.06 4.99984 -1.16743e-10 -0.0144671 -3.89675e-10 0.00114076 4.15511e-10 0.999999
0.061 4.99984 -1.29417e-10 -0.014986 -4.01257e-10 0.0011667 4.28829e-10 0.999999
0.062 4.99983 -1.42091e-10 -0.0155148 -4.12839e-10 0.00119264 4.42148e-10 0.999999
0.063 4.99983 -1.54765e-10 -0.0160534 -4.24421e-10 0.00121858 4.55467e-10 0.999999
0.064 4.99982 -1.6744e-10 -0.0166017 -4.36004e-10 0.00124451 4.68786e-10 0.999999
0.065 4.99982 -1.80115e-10 -0.0171599 -4.47587e-10 0.00127045 4.82106e-10 0.999999
0.066 4.99982 -1.92791e-10 -0.0177278 -4.59171e-10 0.00129639 4.95427e-10 0.999999
0.067 4.99981 -2.05467e-10 -0.0183056 -4.70754e-10 0.00132232 5.08747e-10 0.999999
0.068 4.99981 -2.18144e-10 -0.0188931 -4.82338e-10 0.00134826 5.22068e-10 0.999999
0.069 4.99981 -2.30821e-10 -0.0194905 -4.93923e-10 0.0013742 5.3539e-10 0.999999
0.07 4.9998 -2.43498e-10 -0.0200977 -5.05508e-10 0.00140013 5.48712e-10 0.999999
0.071 4.9998 -2.56176e-10 -0.0207146 -5.17093e-10 0.00142607 5.62034e-10 0.999999
0.072 4.9998 -2.68855e-10 -0.0213414 -5.28678e-10 0.00145201 5.75357e-10 0.999999
0.073 4.99979 -2.81533e-10 -0.0219779 -5.40264e-10 0.00147795 5.8868e-10 0.999999
0.074 4.99979 -2.94212e-10 -0.0226243 -5.5185e-10 0.00150388 6.02003e-10 0.999999
0.075 4.99978 -3.06892e-10 -0.0232804 -5.63437e-10 0.00152982 6.15327e-10 0.999999
0.076 4.99978 -3.19572e-10 -0.0239464 -5.75023e-10 0.00155576 6.28651e-10 0.999999
0.077 4.99978 -3.32252e-10 -0.0246222 -5.8661e-10 0.00158169 6.41976e-10 0.999999
0.078 4.99977 -3.44933e-10 -0.0253077 -5.98198e-10 0.00160763 6.55301e-10 0.999999
0.079 4.99977 -3.57614e-10 -0.0260031 -6.09786e-10 0.00163357 6.68626e-10 0.999999
0.08 4.99977 -3.70296e-10 -0.0267082 -6.21374e-10 0.0016595 6.81952e-10 0.999999
0.081 4.99976 -3.82978e-10 -0.0274232 -6.32962e-10 0.00168544 6.95278e-10 0.999999
0.082 4.99976 -3.95661e-10 -0.0281479 -6.44551e-10 0.00171138 7.08605e-10 0.999999
0.083 4.99976 -4.08344e-10 -0.0288825 -6.5614e-10 0.00173732 7.21932e-10 0.999998
0.084 4.99975 -4.21027e-10 -0.0296269 -6.6773e-10 0.00176325 7.35259e-10 0.999998
0.085 4.99975 -4.33711e-10 -0.030381 -6.7932e-10 0.00178919 7.48587e-10 0.999998
0.086 4.99974 -4.46395e-10 -0.031145 -6.9091e-10 0.00181513 7.61915e-10 0.999998
0.087 4.99974 -4.59079e-10 -0.0319187 -7.025e-10 0.00184106 7.75244e-10 0.999998
0.088 4.99974 -4.71765e-10 -0.0327023 -7.14091e-10 0.001867 7.88573e-10 0.999998
0.089 4.99973 -4.8445e-10 -0.0334956 -7.25682e-10 0.00189294 8.01902e-10 0.999998
0.09 4.99973 -4.97136e-10 -0.0342988 -7.37274e-10 0.00191887 8.15232e-10 0.999998
0.091 4.99973 -5.09822e-10 -0.0351117 -7.48866e-10 0.00194481 8.28562e-10 0.999998
0.092 4.99972 -5.22509e-10 -0.0359345 -7.60458e-10 0.00197075 8.41893e-10 0.999998
0.093 4.99972 -5.35196e-10 -0.036767 -7.7205e-10 0.00199668 8.55224e-10 0.999998
0.094 4.99971 -5.47884e-10 -0.0376094 -7.83643e-10 0.00202262 8.68555e-10 0.999998
0.095 4.99971 -5.60572e-10 -0.0384615 -7.95236e-10 0.00204856 8.81887e-10 0.999998
0.096 4.99971 -5.7326e-10 -0.0393235 -8.0683e-10 0.0020745 8.95219e-10 0.999998
0.097 4.9997 -5.85949e-10 -0.0401952 -8.18424e-10 0.00210043 9.08551e-10 0.999998
0.098 4.9997 -5.98638e-10 -0.0410768 -8.30018e-10 0.00212637 9.21884e-10 0.999998
0.099 4.9997 -6.11328e-10 -0.0419682 -8.41613e-10 0.00215231 9.35217e-10 0.999998
0.1 4.99969 -6.24018e-10 -0.0428693 -8.53208e-10 0.00217824 9.48551e-10 0.999998
0.101 4.99969 -6.36708e-10 -0.0437803 -8.64803e-10 0.00220418 9.61885e-10 0.999998
0.102 4.99969 -6.49399e-10 -0.044701 -8.76398e-10 0.00223012 9.7522e-10 0.999998
0.103 4.99968 -6.62091e-10 -0.0456316 -8.87994e-10 0.00225605 9.88555e-10 0.999997
0.104 4.99968 -6.74782e-10 -0.0465719 -8.9959e-10 0.00228199 1.00189e-09 0.999997
0.105 4.99967 -6.87475e-10 -0.0475221 -9.11187e-10 0.00230793 1.01523e-09 0.999997
0.106 4.99967 -7.00167e-10 -0.048482 -9.22784e-10 0.00233387 1.02856e-09 0.999997
0.107 4.99967 -7.1286e-10 -0.0494518 -9.34381e-10 0.0023598 1.0419e-09 0.999997
0.108 4.99966 -7.25554e-10 -0.0504313 -9.45979e-10 0.00238574 1.05523e-09 0.999997
0.109 4.99966 -7.38248e-10 -0.0514207 -9.57577e-10 0.00241168 1.06857e-09 0.999997
0.11 4.99966 -7.50942e-10 -0.0524198 -9.69175e-10 0.00243761 1.08191e-09 0.999997
0.111 4.99965 -7.63637e-10 -0.0534288 -9.80773e-10 0.00246355 1.09525e-09 0.999997
0.112 4.99965 -7.76332e-10 -0.0544475 -9.92372e-10 0.00248949 1.10859e-09 0.999997
0.113 4.99964 -7.89028e-10 -0.0554761 -1.00397e-09 0.00251542 1.12192e-09 0.999997
0.114 4.99964 -8.01724e-10 -0.0565144 -1.01557e-09 0.00254136 1.13526e-09 0.999997
0.115 4.99964 -8.1442e-10 -0.0575626 -1.02717e-09 0.0025673 1.1486e-09 0.999997
0.116 4.99963 -8.27117e-10 -0.0586205 -1.03877e-09 0.00259323 1.16194e-09 0.999997
0.117 4.99963 -8.39814e-10 -0.0596882 -1.05037e-09 0.00261917 1.17528e-09 0.999997
0.118 4.99963 -8.52512e-10 -0.0607658 -1.06197e-09 0.00264511 1.18862e-09 0.999997
0.119 4.99962 -8.6521e-10 -0.0618531 -1.07357e-09 0.00267105 1.20197e-09 0.999996
0.12 4.99962 -8.77908e-10 -0.0629503 -1.08518e-09 0.00269698 1.21531e-09 0.999996
0.121 4.99961 -8.90607e-10 -0.0640572 -1.09678e-09 0.00272292 1.22865e-09 0.999996
0.122 4.99961 -9.03307e-10 -0.065174 -1.10838e-09 0.00274886 1.24199e-09 0.999996
0.123 4.99961 -9.16007e-10 -0.0663005 -1.11998e-09 0.00277479 1.25533e-09 0.999996
