# <sim_time> <x> <y> <z> <qx> <qy> <qz> <qw>
0.07 5.00004 9.92115e-05 -0.0213066 -0.00116005 -9.43802e-05 4.68814e-05 0.999999
0.071 5.00004 0.000105 -0.0218212 -0.00122907 -9.99222e-05 4.96628e-05 0.999999
0.072 5.00005 0.000110992 -0.0223384 -0.00130081 -0.000105679 5.2555e-05 0.999999
0.073 5.00005 0.000117188 -0.0228583 -0.00137529 -0.000111652 5.55586e-05 0.999999
0.074 5.00005 0.000123589 -0.0233807 -0.00145252 -0.000117843 5.86742e-05 0.999999
0.075 5.00005 0.000130196 -0.0239057 -0.00153252 -0.000124252 6.19023e-05 0.999999
0.076 5.00006 0.00013701 -0.0244331 -0.0016153 -0.00013088 6.52435e-05 0.999999
0.077 5.00006 0.000144031 -0.024963 -0.00170087 -0.000137728 6.86984e-05 0.999999
0.078 5.00006 0.00015126 -0.0254954 -0.00178925 -0.000144798 7.22674e-05 0.999998
0.079 5.00007 0.000158699 -0.0260301 -0.00188045 -0.00015209 7.59511e-05 0.999998
0.08 5.00007 0.000166347 -0.0265671 -0.00197449 -0.000159606 7.97501e-05 0.999998
0.081 5.00007 0.000174207 -0.0271065 -0.00207138 -0.000167346 8.36647e-05 0.999998
0.082 5.00008 0.000182277 -0.0276482 -0.00217113 -0.000175311 8.76956e-05 0.999998
0.083 5.00008 0.000190559 -0.028192 -0.00227376 -0.000183502 9.18431e-05 0.999997
0.084 5.00008 0.000199053 -0.0287381 -0.00237927 -0.000191919 9.61076e-05 0.999997
0.085 5.00009 0.000207758 -0.0292864 -0.00248769 -0.000200564 0.00010049 0.999997
0.086 5.00009 0.000216675 -0.0298368 -0.00259903 -0.000209438 0.00010499 0.999997
0.087 5.0001 0.000225805 -0.0303893 -0.00271329 -0.000218541 0.000109608 0.999996
0.088 5.0001 0.000235146 -0.0309439 -0.00283049 -0.000227873 0.000114345 0.999996
0.089 5.0001 0.000244701 -0.0315006 -0.00295064 -0.000237436 0.000119201 0.999996
0.09 5.00011 0.000254467 -0.0320592 -0.00307376 -0.00024723 0.000124176 0.999995
0.091 5.00011 0.000264447 -0.0326199 -0.00319985 -0.000257256 0.000129271 0.999995
0.092 5.00012 0.000274639 -0.0331824 -0.00332893 -0.000267514 0.000134487 0.999994
0.093 5.00012 0.000285044 -0.033747 -0.003461 -0.000278006 0.000139822 0.999994
0.094 5.00013 0.000295663 -0.0343134 -0.00359608 -0.000288731 0.000145279 0.999993
0.095 5.00013 0.000306495 -0.0348816 -0.00373418 -0.000299689 0.000150856 0.999993
0.096 5.00014 0.00031754 -0.0354517 -0.00387531 -0.000310883 0.000156555 0.999992
0.097 5.00014 0.000328798 -0.0360236 -0.00401948 -0.000322312 0.000162375 0.999992
0.098 5.00015 0.000340271 -0.0365973 -0.0041667 -0.000333976 0.000168317 0.999991
0.099 5.00015 0.000351956 -0.0371728 -0.00431697 -0.000345875 0.000174381 0.999991
0.1 5.00016 0.000363856 -0.03775 -0.00447032 -0.000358012 0.000180568 0.99999
0.101 5.00016 0.00037597 -0.0383289 -0.00462675 -0.000370385 0.000186877 0.999989
0.102 5.00017 0.000388387 -0.0389073 -0.00478691 -0.000383036 0.000193331 0.999988
0.103 5.00018 0.00040111 -0.0394851 -0.0049508 -0.000395963 0.000199929 0.999988
0.104 5.00018 0.000414145 -0.0400623 -0.00511841 -0.000409163 0.000206672 0.999987
